Id,Target
4205/665_G12_1,23
4205/665_G12_2,23
28185/256_G6_1,23
28185/256_G6_2,23
28185/255_G6_1,23
28185/255_G6_2,23
29606/299_D2_1,25
29606/299_D2_2,25
29606/300_D2_3,25
29606/300_D2_4,25
29606/298_D2_2,25 16 12 0
29606/298_D2_1,25 16 12 0
20/205_G10_1,7
20/205_G10_2,7
20/203_G10_1,7
20/203_G10_2,7
2237/78_F5_1,20 10 9 8
2237/78_F5_2,20 10 9 8
2237/1596_C7_1,20 10 9 8
2237/1596_C7_3,20 10 9 8
7203/1584_E5_1,25
7203/1584_E5_2,25
15338/949_C3_2,1 0
15338/949_C3_3,1 0
12072/103_H9_1,25 21 13
12072/103_H9_2,25 21 13
12072/104_H9_1,25 21 13
12072/104_H9_2,25 21 13
12072/102_H9_1,25 21 13
12072/102_H9_2,25 21 13
22049/670_D4_6,25 21 7
22049/670_D4_7,25 21 7
22049/662_D4_1,25 21
22049/662_D4_2,25 21
22049/661_D4_1,25 21
22049/661_D4_2,25 21
44787/527_C12_3,25
44787/527_C12_4,25
44787/529_C12_3,25
44787/529_C12_4,25
44787/522_C12_2,25
44787/522_C12_4,25
8770/101_H2_1,23
8770/101_H2_2,23
59901/1045_A6_1,25
59901/1045_A6_2,25
59901/1049_A6_1,25
59901/1049_A6_2,25
12567/103_E2_1,25
12567/103_E2_2,25
12567/104_E2_1,25
12567/104_E2_2,25
12567/102_E2_1,25
12567/102_E2_2,25
61452/1080_E2_1,25 20 10 9 8
61452/1080_E2_2,25 20 10 9 8
61452/1423_B2_1,25
61452/1423_B2_2,25
61452/1102_E2_5,20 10 9 8
61452/1102_E2_6,20 10 9 8
43018/473_F9_1,25 4
43018/473_F9_4,25 4
43018/470_F9_1,4
43018/470_F9_2,4
43018/468_F9_1,4
43018/468_F9_2,4
46588/622_F2_3,25
46588/622_F2_4,25
46588/619_F2_1,11
46588/619_F2_5,11
46588/616_F2_1,25
46588/616_F2_2,25
17059/173_H5_1,20 10 9 8 7
17059/173_H5_2,20 10 9 8 7
17059/1404_C2_1,7
17059/1404_C2_3,7
17059/168_H5_1,20 10 9 8 7
17059/168_H5_2,20 10 9 8 7
19044/116_G10_1,25 21
19044/116_G10_2,25 21
19044/117_G10_1,25 21
19044/117_G10_2,25 21
19044/115_G10_1,25 21 0
19044/115_G10_2,25 21 0
22157/623_H8_1,25 5
22157/623_H8_2,25 5
22157/620_H8_1,25 3
22157/620_H8_3,25 3
22157/627_H8_1,25 5 0
22157/627_H8_2,25 5 0
25216/626_G4_1,25 21
25216/626_G4_2,25 21
25216/632_G4_1,25 21
25216/632_G4_2,25 21
25216/633_G4_1,25 21
25216/633_G4_2,25 21
20842/618_D10_3,25
20842/618_D10_4,25
20842/614_D10_1,25
20842/614_D10_2,25
20842/611_D10_1,25 11
20842/611_D10_2,25 11
17335/138_F12_1,0
17335/138_F12_2,0
17335/139_F12_1,0
17335/139_F12_2,0
17335/166_F12_1,0
17335/166_F12_2,0
18011/144_F5_1,0
18011/144_F5_2,0
18011/145_F5_1,0
18011/145_F5_2,0
18011/143_F5_1,0
18011/143_F5_2,0
9277/1601_B2_1,21
9277/1601_B2_3,21
9277/1732_B2_13_cr580609aeb2c05,22 21
9277/1732_B2_23_cr580609b816736,22 21
24759/1183_F5_1,20 10 9 8
24759/1183_F5_3,20 10 9 8
24759/197_G12_1,20 10 9 8
24759/197_G12_2,20 10 9 8
7700/1722_G7_2_cr57f7a7f874595,23
7700/1722_G7_7_cr57f7a802451ae,23
7700/1606_D3_2,23
7700/1606_D3_3,23
7700/1614_D3_2,23
7700/1614_D3_3,23
22132/1126_F5_1,21
22132/1126_F5_3,21
6148/36_G6_1,25 0
6148/36_G6_2,25 0
6148/35_G6_1,25 0
6148/35_G6_2,25 0
6148/37_G6_1,25 0
6148/37_G6_2,25 0
62857/1113_E10_1,25 0
62857/1113_E10_2,25 0
62857/1230_E5_1,25 0
62857/1230_E5_2,25 0
62857/1123_E10_2,25 0
62857/1123_E10_4,25 0
5884/617_B5_1,25 0
5884/617_B5_2,25 0
5884/613_B5_1,25 0
5884/613_B5_2,25 0
5884/610_B5_1,25 0
5884/610_B5_2,25 0
53660/809_H8_1,0
53660/809_H8_2,0
27164/290_B5_2,26 4
27164/290_B5_1,26 4
27164/251_B5_1,26 4
27164/251_B5_2,26 4
27164/249_B5_2,26 4
27164/249_B5_1,26 4
28062/259_E12_1,25
28062/259_E12_2,25
28062/260_E12_1,25
28062/260_E12_2,25
28062/258_E12_1,25
28062/258_E12_2,25
9743/921_A7_1,0
9743/921_A7_2,0
9743/923_A7_1,0
9743/923_A7_2,0
30960/455_G4_1,0
30960/455_G4_2,0
30960/452_G4_1,0
30960/452_G4_2,0
30960/449_G4_1,0
30960/449_G4_2,0
64259/1242_F9_1,0
64259/1242_F9_3,0
26679/213_D6_2,25
26679/213_D6_1,25
26679/214_D6_1,25 21
26679/214_D6_2,25 21
26679/212_D6_1,25
26679/212_D6_2,25
30117/335_A11_3,25 21 12
30117/322_A11_1,25 21 12
30117/322_A11_2,25 21 12
30117/327_A11_1,25 21 12
30117/327_A11_2,25 21 12
54364/885_B1_1,23
54364/885_B1_2,23
54364/869_B1_1,23 0
54364/869_B1_2,23 0
54364/1671_E5_3,23
54364/1671_E5_4,23
35255/373_B11_1,25 21
35255/373_B11_2,25 21
35255/366_B11_1,25 21
35255/366_B11_4,25 21
35255/370_B11_1,25 21
35255/370_B11_2,25 21
18997/198_H1_3,23
18997/198_H1_4,23
18997/154_H1_1,23
18997/154_H1_2,23
18997/152_H1_1,23
18997/152_H1_2,23
38325/591_C4_1,0
38325/591_C4_2,0
38325/581_C4_1,0
38325/581_C4_2,0
38325/579_C4_1,0
38325/579_C4_2,0
38326/435_F3_1,25 0
38326/435_F3_2,25 0
38326/448_F3_1,25 0
38326/448_F3_2,25 0
38326/445_F3_1,25 0
38326/445_F3_2,25 0
16315/948_A7_1,0
16315/948_A7_2,0
16315/943_A7_1,0
16315/943_A7_2,0
28129/256_C11_1,0
28129/256_C11_2,0
28129/257_C11_1,0
28129/257_C11_2,0
28129/255_C11_1,0
28129/255_C11_2,0
52399/855_B5_1,0
52399/855_B5_2,0
52399/808_B5_1,0
52399/808_B5_2,0
52399/822_A4_1,0
52399/822_A4_2,0
2946/24_C9_1,23
2946/24_C9_2,23
2946/23_C9_1,23
2946/23_C9_2,23
2946/25_C9_1,23
2946/25_C9_2,23
21611/1139_H3_1,0
21611/1139_H3_3,0
21611/1220_G5_1,0
21611/1220_G5_2,0
21611/1132_H3_1,5 0
21611/1132_H3_2,5 0
64732/1273_E11_2,24 0
64732/1273_E11_3,24 0
64732/1223_D11_1,0
64732/1223_D11_2,0
64732/1193_D11_1,5 0
64732/1193_D11_2,5 0
49161/1261_E1_1,0
49161/1261_E1_2,0
49161/1070_F6_1,0
49161/1070_F6_2,0
19587/222_G3_1,0
19587/222_G3_2,0
19587/248_G3_1,0
19587/248_G3_2,0
19587/221_G3_1,0
19587/221_G3_2,0
5560/113_D1_1,0
5560/113_D1_2,0
5560/161_D1_1,0
5560/161_D1_2,0
5560/112_D1_1,25 0
5560/112_D1_2,25 0
24045/240_G5_1,25 0
24045/240_G5_2,25 0
24045/239_G5_1,25 0
24045/239_G5_2,25 0
46835/824_H5_1,23
46835/824_H5_2,23
46835/978_H5_1,23
46835/978_H5_2,23
46835/884_H5_1,23
46835/884_H5_2,23
48776/812_B10_2,25 0
48776/812_B10_3,25 0
6770/1667_D4_23_cr57ea4f1cf2fbb,0
6770/1667_D4_27_cr57ea4f2462f60,0
6770/1639_C9_1,0
6770/1639_C9_3,0
6770/1607_D4_1,0
6770/1607_D4_2,0
46970/589_A5_1,0
46970/589_A5_2,0
73875/1406_A11_2,2
73875/1406_A11_3,2
73875/1400_A11_1,2
73875/1400_A11_2,2
45214/1054_G11_1,23 2
45214/1054_G11_2,23 2
45214/528_B8_4,2
45214/528_B8_5,2
45214/545_B8_2,2
45214/545_B8_3,2
6723/17_F11_1,0
6723/17_F11_2,0
6723/18_F11_1,0
6723/18_F11_2,0
38311/563_E10_1,25
38311/563_E10_2,25
38311/566_E10_1,25
38311/566_E10_4,25
38311/569_E10_1,25
38311/569_E10_2,25
40755/555_E12_1,2 1
40755/555_E12_2,2 1
40755/840_C12_1,2 1
40755/840_C12_2,2 1
40755/504_E12_1,6 1
40755/504_E12_2,6 1
41350/539_C4_2,23 0
41350/539_C4_3,23 0
41350/534_C4_1,23 0
41350/534_C4_2,23 0
41350/552_C4_1,23 0
41350/552_C4_2,23 0
39292/1470_E4_1,21 19 0
39292/1470_E4_2,21 19 0
39292/1495_A11_1,21 19 0
39292/1495_A11_3,21 19 0
39292/1468_E4_3,21 19 12 0
39292/1468_E4_5,21 19 12 0
48831/751_G9_1,25
48831/751_G9_2,25
8421/33_F12_1,23 19
8421/33_F12_2,23 19
8421/32_F12_1,25 19 7
8421/34_F12_1,25 19
8421/34_F12_2,25 19
34536/378_H2_1,0
34536/378_H2_2,0
34536/376_H2_1,0
34536/376_H2_2,0
34536/383_H2_1,0
34536/383_H2_2,0
4212/653_C5_1,0
4212/653_C5_3,0
55861/893_B10_1,5 0
55861/893_B10_2,5 0
55861/958_C7_1,5 0
55861/958_C7_2,5 0
55861/895_B10_4,0
55861/895_B10_5,0
61464/1403_F7_1,20 10 9 8
61464/1403_F7_2,20 10 9 8
61464/1487_B11_3,20 10 9 8
61464/1487_B11_4,20 10 9 8
61464/1398_F7_1,20 10 9 8
61464/1398_F7_2,20 10 9 8
77882/1762_H2_4,0
77882/1762_H2_6,0
77882/1711_C2_5,0
77882/1711_C2_6,0
77882/1692_G9_3_cr57d29446dedd7,25 0
77882/1692_G9_13_cr57d2944de64af,25 0
53558/984_F8_1,20 10 9 8
53558/984_F8_2,20 10 9 8
53558/867_G8_1,25 20 10 9 8
53558/867_G8_2,25 20 10 9 8
53558/981_F8_1,25 20 10 9 8
53558/981_F8_2,25 20 10 9 8
19365/242_G4_1,20 10 9 8
19365/242_G4_2,20 10 9 8
19365/183_G4_1,20 10 9 8
19365/183_G4_2,20 10 9 8
49395/1128_E12_4,25 21 12 0
49395/1128_E12_5,25 21 12 0
49395/1142_F2_2,12 0
49395/1142_F2_4,12 0
49395/1056_H7_1,21 13 0
49395/1056_H7_2,21 13 0
45074/639_F11_4,7 0
45074/639_F11_5,7 0
45074/635_F11_1,7
45074/635_F11_2,7
45074/634_F11_1,7
45074/634_F11_2,7
51960/785_C7_1,7
51960/785_C7_2,7
51960/783_C7_1,7
51960/783_C7_2,7
51960/821_H4_1,7 0
51960/821_H4_2,7 0
41640/1162_D5_1,25
41640/1162_D5_2,25
58665/1176_H11_7,0
58665/1176_H11_8,0
58665/1037_F5_1,0
58665/1037_F5_2,0
23826/261_H4_1,0
23826/261_H4_2,0
23826/224_H4_1,0
23826/224_H4_2,0
30605/333_D5_1,25 0
30605/333_D5_2,25 0
30605/331_D5_2,25
30605/331_D5_3,25
30605/330_D5_1,25 0
30605/330_D5_2,25 0
58807/1015_D7_1,20 10 9 8
58807/1015_D7_2,20 10 9 8
53283/871_E3_1,5
53283/871_E3_2,5
53283/882_B3_1,5
53283/882_B3_2,5
65626/1247_B8_6,5
65626/1247_B8_7,5
65626/1284_F5_2,5
65626/1284_F5_3,5
65626/1244_B8_1,5
65626/1244_B8_3,5
8287/42_C4_1,23 0
8287/42_C4_2,23 0
8287/41_C4_1,23 0
8287/41_C4_2,23 0
8287/43_C4_1,25 0
8287/43_C4_2,25 0
18594/204_G7_1,21
18594/204_G7_2,21
18594/205_G7_1,21
18594/205_G7_2,21
18594/203_G7_1,21 20 10 9 8
18594/203_G7_2,21 20 10 9 8
3877/24_E11_1,0
3877/24_E11_2,0
3877/23_E11_1,0
3877/23_E11_2,0
3877/25_E11_1,0
3877/25_E11_2,0
71863/1523_C10_1,0
71863/1523_C10_3,0
71863/1486_A11_1,0
71863/1486_A11_3,0
71863/1496_A11_2,2 0
71863/1496_A11_6,2 0
74747/1475_C3_1,2
74747/1475_C3_5,2
74747/1502_D5_1,20 10 9 8 2
74747/1502_D5_3,20 10 9 8 2
74747/1454_D5_1,2
74747/1454_D5_3,2
43414/472_C7_2,20 10 9 8
43414/472_C7_3,20 10 9 8
43414/476_C7_1,20 10 9 8
43414/476_C7_2,20 10 9 8
43414/469_C7_1,20 10 9 8
43414/469_C7_2,20 10 9 8
53083/885_H6_1,25 0
53083/885_H6_2,25 0
53083/849_H6_1,25 0
53083/849_H6_2,25 0
40473/413_E11_1,25 0
40473/413_E11_2,25 0
40473/1240_E7_1,25 0
40473/1240_E7_2,25 0
53385/838_B8_1,0
53385/838_B8_2,0
53385/806_G7_1,0
53385/806_G7_2,0
53385/810_G7_1,0
53385/810_G7_5,0
53904/823_A5_1,3
53904/823_A5_2,3
53904/965_H4_1,3
53904/965_H4_2,3
53904/833_H4_4,3
53904/833_H4_5,3
27270/291_H10_2,25 20 10 9 8 3
27270/291_H10_4,25 20 10 9 8 3
27270/254_H10_1,25 20 10 9 8 3
27270/254_H10_2,25 20 10 9 8 3
27270/546_H10_1,25 20 10 9 8 3
27270/546_H10_2,25 20 10 9 8 3
42318/488_B4_2,25 2
42318/488_B4_3,25 2
42318/494_B4_2,25 7 2
42318/494_B4_3,25 7 2
42318/485_B4_2,25 7 2
42318/485_B4_3,25 7 2
60492/1318_E3_9,23
60492/1318_E3_10,23
60492/1082_D5_3,23
60492/1082_D5_8,23
60492/1103_D5_2,23
60492/1103_D5_4,23
17631/946_G5_3,20 10 9 8
17631/946_G5_4,20 10 9 8
17631/945_G5_1,20 10 9 8
17631/945_G5_2,20 10 9 8
17631/953_G5_1,20 10 9 8
17631/953_G5_2,20 10 9 8
56733/917_C9_1,20 10 9 8
56733/917_C9_2,20 10 9 8
56733/920_C9_1,20 10 9 8
56733/920_C9_2,20 10 9 8
56733/941_B10_1,20 10 9 8
56733/941_B10_2,20 10 9 8
35085/378_C9_1,0
35085/378_C9_3,0
35085/376_C9_1,25
35085/376_C9_2,25
35085/383_C9_3,25
35085/383_C9_5,25
35086/378_E8_1,5
35086/378_E8_2,5
35086/376_E8_1,25
35086/376_E8_2,25
35086/383_E8_4,25 17
35086/383_E8_7,25 17
26192/674_H8_3,21
26192/674_H8_4,21
26192/665_H8_1,21
26192/665_H8_2,21
22023/190_A1_1,0
22023/190_A1_2,0
22023/191_A1_1,0
22023/191_A1_2,0
22023/189_A1_1,0
22023/189_A1_2,0
7853/202_A2_1,25 21
7853/200_A2_1,25 21
7853/200_A2_2,25 21
61460/1135_C5_1,5
61460/1135_C5_3,5
61460/1220_E7_3,5
61460/1220_E7_4,5
942/956_H2_3,2
942/956_H2_4,2
942/990_D4_1,2
942/990_D4_2,2
19484/178_H1_2,25 21
19484/178_H1_1,25 21
19484/247_H1_1,25 21
19484/247_H1_2,25 21
19484/177_H1_1,25 21 0
19484/177_H1_2,25 21 0
21257/147_G5_1,21
21257/147_G5_2,21
21257/146_G5_1,21
21257/146_G5_2,21
23874/196_H4_1,25 21
23874/196_H4_2,25 21
23874/197_H4_1,21
23874/197_H4_2,21
23874/195_H4_1,21
23874/195_H4_2,21
12114/95_G10_3,0
12114/95_G10_4,0
12114/96_G10_1,0
12114/96_G10_2,0
12114/94_G10_1,2 0
12114/94_G10_2,2 0
77249/1623_B11_4,0
77249/1623_B11_5,0
77249/1609_F11_1,0
77249/1609_F11_5,0
53471/806_F2_3,23 20 10 9 8
53471/806_F2_4,23 20 10 9 8
53471/820_C3_1,23
53471/820_C3_2,23
12312/113_D4_1,25 0
12312/161_D4_1,25 0
12312/161_D4_2,25 0
12312/112_D4_1,25 0
12312/112_D4_2,25 0
55592/881_G7_1,25
55592/881_G7_2,25
55592/879_H7_1,25
55592/879_H7_2,25
27398/1030_H1_5,25
27398/1030_H1_6,25
27398/1044_A2_1,25
27398/1044_A2_2,25
42923/1767_D2_10_cr594ba0be0e8e0,5 0
42923/1767_D2_17_cr594ba0be0e9f7,5 0
42923/1711_C1_3,5
42923/1711_C1_4,5
77366/1743_G1_13_cr57ff94da182d2,21 4
77366/1743_G1_28_cr57ff94ee6d957,21 4
77366/1760_B11_17_cr594b79e2452cd,21 4
77366/1760_B11_22_cr594b79ecda508,21 4
77366/1706_E7_3_cr57e391995f168,21 4
77366/1706_E7_23_cr57e391b087f38,21 4
24122/196_C4_2,25
24122/196_C4_1,25
24122/197_C4_1,25 21
24122/197_C4_2,25 21
24122/195_C4_1,25 21
24122/195_C4_2,25 21
32006/377_C12_4,23 2
32006/377_C12_5,23 2
32006/390_C12_1,25 23 2
32006/390_C12_2,25 23 2
44254/526_H5_1,25 0
44254/526_H5_2,25 0
44254/528_H5_1,25 0
44254/528_H5_2,25 0
44254/545_H5_1,25 0
44254/545_H5_2,25 0
43637/1281_C3_2,22 0
43637/1281_C3_3,22 0
43637/1137_D7_2,22 0
43637/1137_D7_5,22 0
43637/1313_C3_1,0
43637/1313_C3_2,0
19535/222_A2_1,0
19535/222_A2_2,0
19535/248_A2_1,0
19535/248_A2_2,0
19535/221_A2_1,0
19535/221_A2_2,0
20518/1124_E10_1,21
20518/1124_E10_2,21
24264/1124_F5_1,21
24264/1124_F5_2,21
24264/217_D11_1,21
24264/217_D11_2,21
24264/215_D11_1,21
24264/215_D11_2,21
63835/1139_D8_3,20
63835/1139_D8_5,20
63835/1132_D8_2,20 20 10 9 8
63835/1132_D8_3,20 20 10 9 8
27751/219_G10_1,20 10 9 8 0
27751/219_G10_2,20 10 9 8 0
27751/220_G10_1,20 10 9 8 0
27751/220_G10_2,20 10 9 8 0
27751/218_G10_1,20 10 9 8 0
27751/218_G10_2,20 10 9 8 0
35225/374_E3_1,0
35225/374_E3_2,0
35225/371_E3_2,23
35225/371_E3_3,23
35225/372_E3_1,23 0
35225/372_E3_2,23 0
35226/374_B1_1,20 10 9 8
35226/374_B1_2,20 10 9 8
35226/371_B1_3,25 20 10 9 8 0
35226/371_B1_4,25 20 10 9 8 0
35226/372_B1_1,20 10 9 8 0
35226/372_B1_2,20 10 9 8 0
8477/19_E10_1,25
8477/19_E10_2,25
8477/17_E10_1,25
8477/17_E10_2,25
39186/547_E12_1,25
39186/547_E12_2,25
39186/532_E12_5,25
39186/532_E12_6,25
39186/496_E12_1,25
39186/496_E12_2,25
41708/557_H1_1,25 21
41708/557_H1_2,25 21
41708/493_H1_1,25 21
41708/493_H1_2,25 21
41708/502_H1_1,25 21
41708/502_H1_2,25 21
46765/852_G1_1,25 21
46765/852_G1_2,25 21
46765/830_G1_1,25 21
46765/830_G1_2,25 21
46765/742_C8_1,25 21
46765/742_C8_2,25 21
20036/279_F2_2,19
20036/279_F2_1,19
20036/278_F2_1,19
20036/278_F2_2,19
42781/473_B6_1,25 4
42781/473_B6_2,25 4
42781/470_B6_1,4
42781/470_B6_2,4
42781/468_B6_1,25 4
64678/1262_C11_1,21 12
64678/1262_C11_2,21 12
64678/1264_C11_1,21 13
64678/1264_C11_2,21 13
9178/48_C6_1,25 21 7 0
9178/48_C6_2,25 21 7 0
9178/47_C6_1,25 21 0
9178/49_C6_1,25 21 0
9178/49_C6_2,25 21 0
53992/1162_B5_1,0
53992/1162_B5_2,0
53992/1057_F11_1,18 0
53992/1057_F11_2,18 0
75418/1595_C4_1,19
75418/1595_C4_2,19
30775/1182_F2_2,0
30775/1182_F2_3,0
30775/371_A12_1,25 0
30775/371_A12_2,25 0
30775/372_A12_1,0
30775/372_A12_2,0
41144/486_F4_1,25 22 7
41144/486_F4_2,25 22 7
41144/490_F4_1,25 7
41144/490_F4_2,25 7
41144/509_F4_1,25 7
41144/509_F4_2,25 7
77399/1722_D6_8_cr57f7a8e157f93,20 10 9 8
77399/1722_D6_23_cr57f7a8eb40f50,20 10 9 8
77399/1601_H7_2,20 10 9 8
77399/1601_H7_3,20 10 9 8
77399/1732_H7_13_cr5806221908492,20 10 9 8
77399/1732_H7_19_cr58062221bc7a2,20 10 9 8
69321/1304_G2_2,23
69321/1304_G2_5,23
69321/1356_F7_2,23 4
69321/1356_F7_3,23 4
69321/1323_G2_1,4
69321/1323_G2_5,4
71829/1475_C8_4,20 10 9 8
71829/1475_C8_6,20 10 9 8
71829/1696_D1_3,20 10 9 8
71829/1696_D1_6,20 10 9 8
40760/1281_D4_3,25
40760/1281_D4_5,25
40760/1313_D4_1,25 7
40760/1313_D4_2,25 7
39828/591_D1_1,20 10 9 8 7 0
39828/591_D1_2,20 10 9 8 7 0
39828/581_D1_1,20 10 9 8 0
39828/581_D1_2,20 10 9 8 0
39828/579_D1_1,20 10 9 8 0
39828/579_D1_2,20 10 9 8 0
61414/1307_A3_2,7
61414/1307_A3_3,7
61414/1080_C3_1,7
61414/1080_C3_2,7
41752/489_E11_1,25 2
41752/489_E11_2,25 2
41752/492_E11_1,25 2
41752/492_E11_2,25 2
41752/484_E11_1,25 2
41752/484_E11_3,25 2
28705/296_G9_1,25
28705/296_G9_2,25
63889/1223_H4_2,23
63889/1223_H4_3,23
63889/1279_A1_1,23 0
63889/1279_A1_2,23 0
63889/1193_H4_2,23 0
63889/1193_H4_4,23 0
2847/57_C2_1,0
2847/57_C2_2,0
2847/56_C2_1,25
2847/56_C2_4,25
2847/58_C2_3,0
2847/58_C2_4,0
11577/617_E1_1,0
11577/617_E1_2,0
11577/613_E1_1,0
11577/613_E1_2,0
11577/610_E1_2,0
11577/610_E1_3,0
10467/956_F9_4,25 4
10467/956_F9_6,25 4
10467/954_F9_1,25 4
10467/954_F9_2,25 4
73626/1606_F12_1,4
73626/1606_F12_2,4
73626/1682_E1_2,4
73626/1682_E1_3,4
73626/1614_F12_2,4
73626/1614_F12_3,4
53368/885_D5_5,0
53368/885_D5_6,0
53368/869_D5_1,20 10 9 8 0
53368/869_D5_2,20 10 9 8 0
62942/1213_F4_1,0
62942/1213_F4_2,0
62942/1235_F4_1,0
62942/1235_F4_2,0
19077/198_F7_1,25
19077/198_F7_2,25
19077/154_F7_1,25
19077/154_F7_2,25
19077/152_F7_1,25
19077/152_F7_2,25
13979/160_D7_1,25 0
13979/160_D7_2,25 0
13979/107_D7_1,25
13979/107_D7_2,25
13979/105_D7_1,25 0
13979/105_D7_2,25 0
50325/1281_F7_1,22
50325/1281_F7_2,22
40446/415_D9_1,25 18
40446/415_D9_3,25 18
40446/411_D9_1,25
40446/411_D9_2,25
40446/416_D9_1,25 18
40446/416_D9_2,25 18
61458/1143_B7_1,25 18
61458/1143_B7_3,25 18
61458/1130_B7_2,25 18
61458/1130_B7_3,25 18
20637/190_D12_1,20 10 9 8
20637/190_D12_2,20 10 9 8
20637/191_D12_1,23 20 10 9 8
20637/191_D12_2,23 20 10 9 8
20637/189_D12_1,23 20 10 9 8
20637/189_D12_2,23 20 10 9 8
20728/222_G9_1,23 20 10 9 8
20728/222_G9_2,23 20 10 9 8
20728/248_G9_1,23 20 10 9 8
20728/248_G9_2,23 20 10 9 8
20728/221_G9_1,23
20728/221_G9_2,23
20734/190_A12_1,23 20 10 9 8
20734/190_A12_2,23 20 10 9 8
20734/191_A12_1,23 20 10 9 8
20734/191_A12_2,23 20 10 9 8
20734/189_A12_1,23 20 10 9 8
20734/189_A12_2,23 20 10 9 8
58230/1251_H6_1,22
58230/1251_H6_2,22
58230/1772_F2_7,22 19
58230/1772_F2_9,22 19
47377/764_C8_1,23 2
47377/764_C8_2,23 2
47377/716_C8_2,23 2
47377/716_C8_3,23 2
47377/719_C8_2,23 2
47377/719_C8_3,23 2
43274/473_H2_1,2
43274/473_H2_2,2
43274/470_H2_1,2
43274/470_H2_2,2
43274/468_H2_1,2
43274/468_H2_2,2
44840/559_C9_1,23
44840/559_C9_2,23
44840/550_C9_1,23
44840/550_C9_3,23
44840/567_C9_1,23 6
44840/567_C9_2,23 6
18762/956_E11_3,14 1 0
18762/956_E11_6,14 1 0
18762/1035_D8_1,14 1 0
18762/1035_D8_2,14 1 0
18762/954_E11_1,14
18762/954_E11_2,14
7533/113_A3_1,0
7533/113_A3_2,0
7533/161_A3_1,0
7533/161_A3_2,0
7533/112_A3_1,0
7533/112_A3_2,0
60938/1393_F7_4,24
60938/1393_F7_5,24
60938/1256_D7_3,21
60938/1256_D7_5,21
42025/461_H10_1,25 2
42025/461_H10_2,25 2
42025/464_H10_1,25 2
42025/464_H10_2,25 2
55639/886_E11_3,25 4
55639/886_E11_4,25 4
14059/134_E4_1,6
14059/134_E4_2,6
14059/135_E4_1,24 11 6
14059/135_E4_2,24 11 6
14059/133_E4_1,11 6
14059/133_E4_2,11 6
3570/36_C10_1,25 6
3570/36_C10_2,25 6
3570/35_C10_1,25 6
3570/35_C10_2,25 6
3570/37_C10_1,25 6
3570/37_C10_2,25 6
18846/198_G3_1,25
18846/198_G3_2,25
18846/152_G3_1,25 21
18846/152_G3_2,25 21
52221/766_H10_1,25
52221/766_H10_2,25
52221/778_H10_2,25 21
52221/778_H10_3,25 21
52221/822_C2_2,25 7
52221/822_C2_3,25 7
39915/471_D11_1,23
39915/471_D11_3,23
39915/412_D11_1,23
39915/412_D11_3,23
39915/419_D11_2,23 21 0
39915/419_D11_3,23 21 0
69382/1418_C2_1,0
69382/1418_C2_3,0
69382/1371_E4_2,0
69382/1371_E4_4,0
69382/1369_E4_2,22 0
69382/1369_E4_7,22 0
29313/326_C11_1,7
29313/326_C11_2,7
59627/1525_H7_4,21
59627/1525_H7_5,21
59627/1375_D4_5,21 0
